time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,velocity,rpm_lr,rpm_rr,rpm_lf,rpm_rf,steering,throttle 
1714023281.9301014,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0431103515625,-0.8957373046875,9.8052099609375,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023281.9981232,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.052690429687500005,-0.8957373046875,9.81,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.0661566,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.05748046875,-0.8957373046875,9.81,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.1341789,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.047900390625000004,-0.9005273437500001,9.81,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.2022097,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0383203125,-0.9053173828125001,9.81,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.2702339,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.052690429687500005,-0.9053173828125001,9.81,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.3382654,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.052690429687500005,-0.8957373046875,9.800419921875001,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.4062967,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.047900390625000004,-0.9053173828125001,9.800419921875001,-5.2789306640625,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.4743319,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.047900390625000004,-0.9053173828125001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023282.5423613,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0431103515625,-0.9053173828125001,9.8052099609375,-5.2789306640625,-0.296630859375,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.3567698,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0431103515625,-0.8957373046875,9.8052099609375,-5.2789306640625,-0.296630859375,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.424798,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0431103515625,-0.8957373046875,9.81,-5.2789306640625,-0.296630859375,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.492821,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.047900390625000004,-0.9053173828125001,9.8052099609375,-5.2734375,-0.296630859375,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.5608509,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0431103515625,-0.9053173828125001,9.800419921875001,-5.2734375,-0.296630859375,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.6288812,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.052690429687500005,-0.9053173828125001,9.8052099609375,-5.2734375,-0.296630859375,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.6969151,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.047900390625000004,-0.9053173828125001,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.764933,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.047900390625000004,-0.910107421875,9.81,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.8329582,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.0431103515625,-0.9005273437500001,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.9009874,0.0,0.0,0.0,0.3878125,0.478515625,0.0,0.052690429687500005,-0.9005273437500001,9.81,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023283.969022,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.9005273437500001,9.81,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023284.7833326,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.052690429687500005,-0.9005273437500001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023284.851365,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.8957373046875,9.81,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
