time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,velocity,rpm_lr,rpm_rr,rpm_lf,rpm_rf,steering,throttle 
1714019161.593913,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.0718505859375,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.4051414,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.067060546875,-0.890947265625,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.473188,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.076640625,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.5412128,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.0718505859375,-0.8861572265625001,9.7956298828125,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.6092486,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.076640625,-0.8861572265625001,9.8052099609375,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.6772878,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.0718505859375,-0.8861572265625001,9.8052099609375,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.7453132,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.076640625,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.8133585,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.076640625,-0.8861572265625001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.881389,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.076640625,-0.8861572265625001,9.8052099609375,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019162.9494221,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.067060546875,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019163.0174513,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.076640625,-0.8813671875000001,9.79083984375,-5.1690673828125,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019163.8319495,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.0718505859375,-0.8861572265625001,9.7956298828125,-5.1690673828125,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019163.8999836,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.0718505859375,-0.8861572265625001,9.800419921875001,-5.1690673828125,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019163.9680166,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.0718505859375,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.0360374,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.076640625,-0.8861572265625001,9.8052099609375,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.1040716,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.076640625,-0.8861572265625001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.172113,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.0622705078125,-0.8765771484375,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.240137,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.0718505859375,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.3081763,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.067060546875,-0.8813671875000001,9.800419921875001,-5.16357421875,-0.439453125,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.376223,0.0,0.0,0.0,0.393,0.48462500000000003,0.0,0.076640625,-0.890947265625,9.7956298828125,-5.16357421875,-0.4339599609375,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714019164.4442668,0.0,0.0,0.0,0.392984375,0.48462500000000003,0.0,0.0718505859375,-0.8813671875000001,9.7956298828125,-5.16357421875,-0.4339599609375,109.3963623046875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
